rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0024.jpg,9.6,0.5261,0.5021,0.25,1.0,3,2,False,False
77,frame_0389.jpg,155.6,0.5256,0.6283,0.625,0.12,10,5,False,False
78,frame_0095.jpg,38.0,0.5254,0.6118,0.625,0.16,7,5,False,False
79,frame_0297.jpg,118.8,0.5253,0.5106,0.5,0.6,4,4,False,False
80,frame_0374.jpg,149.6,0.5252,0.5954,0.625,0.2,8,5,False,False
81,frame_0015.jpg,6.0,0.519,0.488,0.25,1.0,5,2,False,False
82,frame_0026.jpg,10.4,0.5184,0.4867,0.25,1.0,3,2,False,False
83,frame_0276.jpg,110.4,0.5184,0.6408,0.5,0.24,6,4,False,False
84,frame_0013.jpg,5.2,0.5175,0.41,0.375,1.0,4,3,False,False
85,frame_0377.jpg,150.8,0.5145,0.6061,0.625,0.12,8,5,False,False
86,frame_0131.jpg,52.4,0.5144,0.4197,0.375,0.96,5,3,False,False
87,frame_0332.jpg,132.8,0.5122,0.6334,0.625,0.04,9,5,False,False
88,frame_0012.jpg,4.8,0.5121,0.3993,0.375,1.0,4,3,False,False
89,frame_0285.jpg,114.0,0.5121,0.5592,0.375,0.6,6,3,False,False
90,frame_0027.jpg,10.8,0.5101,0.4703,0.25,1.0,3,2,False,False
91,frame_0327.jpg,130.8,0.5083,0.7006,0.5,0.04,9,4,False,False
92,frame_0306.jpg,122.4,0.5066,0.6172,0.5,0.24,6,4,False,False
93,frame_0303.jpg,121.2,0.5064,0.5689,0.5,0.36,6,4,False,False
94,frame_0113.jpg,45.2,0.5054,0.5398,0.625,0.24,7,5,False,False
95,frame_0193.jpg,77.2,0.5051,0.6142,0.5,0.24,6,4,False,False
96,frame_0230.jpg,92.0,0.504,0.5849,0.625,0.12,10,5,False,False
97,frame_0029.jpg,11.6,0.5024,0.4548,0.25,1.0,6,2,False,False
98,frame_0194.jpg,77.6,0.5013,0.5906,0.5,0.28,6,4,False,False
